state,date,cases,deaths
Alabama,2020-05-01,7294,289
Alabama,2020-05-02,7611,288
Alabama,2020-05-03,7888,290
Alabama,2020-05-04,8112,298
Alabama,2020-05-05,8437,315
Alabama,2020-05-06,8691,343
Alabama,2020-05-07,9046,369
Alabama,2020-05-08,9385,383
Alabama,2020-05-09,9668,390
Alabama,2020-05-10,9889,393
Alabama,2020-05-11,10164,403
Alabama,2020-05-12,10464,435
Alabama,2020-05-13,10700,450
Alabama,2020-05-14,11101,473
Alabama,2020-05-15,11373,483
Alabama,2020-05-16,11674,485
Alabama,2020-05-17,11771,488
Alabama,2020-05-18,12086,489
Alabama,2020-05-19,12376,504
Alabama,2020-05-20,13052,522
Alabama,2020-05-21,13288,529
Alabama,2020-05-22,13670,541
Alabama,2020-05-23,14117,549
Alabama,2020-05-24,14478,551
Alabama,2020-05-25,14986,566
Alabama,2020-05-26,15650,580
Alabama,2020-05-27,16032,583
Alabama,2020-05-28,16530,591
Alabama,2020-05-29,17031,610
Alabama,2020-05-30,17359,618
Alabama,2020-05-31,17952,630
Alabama,2020-06-01,18630,646
Alabama,2020-06-02,18766,653
Alabama,2020-06-03,18851,653
Alabama,2020-06-04,19072,653
Alabama,2020-06-05,19387,676
Alabama,2020-06-06,20043,689
Alabama,2020-06-07,20500,692
Alabama,2020-06-08,20925,718
Alabama,2020-06-09,21422,729
Alabama,2020-06-10,21989,744
Alabama,2020-06-11,22845,755
Alabama,2020-06-12,23710,769
Alabama,2020-06-13,24601,773
Alabama,2020-06-14,25615,773
Alabama,2020-06-15,26272,774
Alabama,2020-06-16,26912,785
Alabama,2020-06-17,27312,790
Alabama,2020-06-18,28206,810
Alabama,2020-06-19,29002,822
Alabama,2020-06-20,29549,838
Alabama,2020-06-21,30021,839
Alabama,2020-06-22,30454,841
Alabama,2020-06-23,31097,864
Alabama,2020-06-24,32064,891
Alabama,2020-06-25,33206,896
Alabama,2020-06-26,34183,907
Alabama,2020-06-27,35083,919
Alabama,2020-06-28,35441,919
Alabama,2020-06-29,37175,929
Alabama,2020-06-30,38045,950
Alabama,2020-07-01,38962,972
Alabama,2020-07-02,40111,985
Alabama,2020-07-03,41865,1006
Alabama,2020-07-04,42862,1007
Alabama,2020-07-05,43953,1007
Alabama,2020-07-06,44878,1007
Alabama,2020-07-07,45785,1033
Alabama,2020-07-08,46962,1058
Alabama,2020-07-09,49174,1068
Alabama,2020-07-10,50508,1104
Alaska,2020-01-22,0,0
Alaska,2020-01-23,0,0
Alaska,2020-01-24,0,0
Alaska,2020-01-25,0,0
Alaska,2020-01-26,0,0
Alaska,2020-01-27,0,0
Alaska,2020-01-28,0,0
Alaska,2020-01-29,0,0
Alaska,2020-01-30,0,0
Alaska,2020-01-31,0,0
Alaska,2020-02-01,0,0
Alaska,2020-02-02,0,0
Alaska,2020-02-03,0,0
Alaska,2020-02-04,0,0
Alaska,2020-02-05,0,0
Alaska,2020-02-06,0,0
Alaska,2020-02-07,0,0
Alaska,2020-02-08,0,0
Alaska,2020-02-09,0,0
Alaska,2020-02-10,0,0
Alaska,2020-02-11,0,0
Alaska,2020-02-12,0,0
Alaska,2020-02-13,0,0
Alaska,2020-02-14,0,0
Alaska,2020-02-15,0,0
Alaska,2020-02-16,0,0
Alaska,2020-02-17,0,0
Alaska,2020-02-18,0,0
Alaska,2020-02-19,0,0
Alaska,2020-02-20,0,0
Alaska,2020-02-21,0,0
Alaska,2020-02-22,0,0
Alaska,2020-02-23,0,0
Alaska,2020-02-24,0,0
Alaska,2020-02-25,0,0
Alaska,2020-02-26,0,0
Alaska,2020-02-27,0,0
Alaska,2020-02-28,0,0
Alaska,2020-02-29,0,0
Alaska,2020-03-01,0,0
Alaska,2020-03-02,0,0
Alaska,2020-03-03,0,0
Alaska,2020-03-04,0,0
Alaska,2020-03-05,0,0
Alaska,2020-03-06,0,0
Alaska,2020-03-07,0,0
Alaska,2020-03-08,0,0
Alaska,2020-03-09,0,0
Alaska,2020-03-10,0,0
Alaska,2020-03-11,0,0
Alaska,2020-03-12,0,0
Alaska,2020-03-13,1,0
Alaska,2020-03-14,1,0
Alaska,2020-03-15,1,0
Alaska,2020-03-16,1,0
Alaska,2020-03-17,3,0
Alaska,2020-03-18,5,0
Alaska,2020-03-19,8,0
Alaska,2020-03-20,11,0
Alaska,2020-03-21,13,0
Alaska,2020-03-22,18,0
Alaska,2020-03-23,30,0
Alaska,2020-03-24,34,0
Alaska,2020-03-25,41,1
Alaska,2020-03-26,56,1
Alaska,2020-03-27,58,1
Alaska,2020-03-28,85,2
Alaska,2020-03-29,102,2
Alaska,2020-03-30,114,3
Alaska,2020-03-31,119,3
Alaska,2020-04-01,132,3
Alaska,2020-04-02,143,3
Alaska,2020-04-03,157,3
Alaska,2020-04-04,171,5
Alaska,2020-04-05,185,6
Alaska,2020-04-06,190,6
Alaska,2020-04-07,213,6
Alaska,2020-04-08,226,7
Alaska,2020-04-09,235,7
Alaska,2020-04-10,246,7
Alaska,2020-04-11,257,8
Alaska,2020-04-12,272,8
Alaska,2020-04-13,277,8
Alaska,2020-04-14,285,9
Alaska,2020-04-15,293,9
Alaska,2020-04-16,300,9
Alaska,2020-04-17,309,9
Alaska,2020-04-18,314,9
Alaska,2020-04-19,319,9
Alaska,2020-04-20,321,9
Alaska,2020-04-21,329,9
Alaska,2020-04-22,335,9
Alaska,2020-04-23,337,9
Alaska,2020-04-24,339,9
Alaska,2020-04-25,339,9
Alaska,2020-04-26,340,9
Alaska,2020-04-27,345,9
Alaska,2020-04-28,351,9
Alaska,2020-04-29,355,9
Alaska,2020-04-30,355,9
Alaska,2020-05-01,364,9
Alaska,2020-05-02,365,9
Alaska,2020-05-03,368,9
Alaska,2020-05-04,370,9
Alaska,2020-05-05,371,9
Alaska,2020-05-06,372,10
Alaska,2020-05-07,374,10
Alaska,2020-05-08,377,10
Alaska,2020-05-09,378,10
Alaska,2020-05-10,379,10
Alaska,2020-05-11,379,10
Alaska,2020-05-12,383,10
Alaska,2020-05-13,383,10
Alaska,2020-05-14,383,10
Alaska,2020-05-15,388,10
Alaska,2020-05-16,388,10
Alaska,2020-05-17,388,10
Alaska,2020-05-18,388,10
Alaska,2020-05-19,400,10
Alaska,2020-05-20,401,10
Alaska,2020-05-21,401,10
Alaska,2020-05-22,403,10
Alaska,2020-05-23,407,10
Alaska,2020-05-24,407,10
Alaska,2020-05-25,408,10
Alaska,2020-05-26,410,10
Alaska,2020-05-27,411,10
Alaska,2020-05-28,424,10
Alaska,2020-05-29,429,10
Alaska,2020-05-30,433,10
Alaska,2020-05-31,459,10
Alaska,2020-06-01,466,10
Alaska,2020-06-02,486,10
Alaska,2020-06-03,504,10
Alaska,2020-06-04,512,10
Alaska,2020-06-05,523,10
Alaska,2020-06-06,535,10
Alaska,2020-06-07,543,10
Alaska,2020-06-08,562,10
Alaska,2020-06-09,572,11
Alaska,2020-06-10,592,11
Alaska,2020-06-11,609,11
Alaska,2020-06-12,624,12
Alaska,2020-06-13,653,12
Alaska,2020-06-14,660,12
Alaska,2020-06-15,663,12
Alaska,2020-06-16,675,12
Alaska,2020-06-17,695,12
Alaska,2020-06-18,707,12
Alaska,2020-06-19,720,12
Alaska,2020-06-20,741,12
Alaska,2020-06-21,752,12
Alaska,2020-06-22,758,12
Alaska,2020-06-23,760,12
Alaska,2020-06-24,789,12
Alaska,2020-06-25,813,12
Alaska,2020-06-26,833,14
Alaska,2020-06-27,851,14
Alaska,2020-06-28,880,14
Alaska,2020-06-29,901,14
Alaska,2020-06-30,937,14
Alaska,2020-07-01,975,14
Alaska,2020-07-02,1014,14
Alaska,2020-07-03,1060,15
Alaska,2020-07-04,1107,16
Alaska,2020-07-05,1134,16
Alaska,2020-07-06,1162,16
Alaska,2020-07-07,1180,17
Alaska,2020-07-08,1222,17
Alaska,2020-07-09,1268,17
Alaska,2020-07-10,1323,17
Arizona,2020-01-22,0,0
Arizona,2020-01-23,0,0
Arizona,2020-01-24,0,0
Arizona,2020-01-25,0,0
Arizona,2020-01-26,1,0
Arizona,2020-01-27,1,0
Arizona,2020-01-28,1,0
Arizona,2020-01-29,1,0
Arizona,2020-01-30,1,0
Arizona,2020-01-31,1,0
Arizona,2020-02-01,1,0
Arizona,2020-02-02,1,0
Arizona,2020-02-03,1,0
Arizona,2020-02-04,1,0
Arizona,2020-02-05,1,0
Arizona,2020-02-06,1,0
Arizona,2020-02-07,1,0
Arizona,2020-02-08,1,0
Arizona,2020-02-09,1,0
Arizona,2020-02-10,1,0
Arizona,2020-02-11,1,0
Arizona,2020-02-12,1,0
Arizona,2020-02-13,1,0
Arizona,2020-02-14,1,0
Arizona,2020-02-15,1,0
Arizona,2020-02-16,1,0
Arizona,2020-02-17,1,0
Arizona,2020-02-18,1,0
Arizona,2020-02-19,1,0
Arizona,2020-02-20,1,0
Arizona,2020-02-21,1,0
Arizona,2020-02-22,1,0
Arizona,2020-02-23,1,0
Arizona,2020-02-24,1,0
Arizona,2020-02-25,1,0
Arizona,2020-02-26,1,0
Arizona,2020-02-27,1,0
Arizona,2020-02-28,1,0
Arizona,2020-02-29,1,0
Arizona,2020-03-01,1,0
Arizona,2020-03-02,1,0
Arizona,2020-03-03,1,0
Arizona,2020-03-04,1,0
Arizona,2020-03-05,1,0
Arizona,2020-03-06,2,0
Arizona,2020-03-07,4,0
Arizona,2020-03-08,4,0
Arizona,2020-03-09,4,0
Arizona,2020-03-10,6,0
Arizona,2020-03-11,9,0
Arizona,2020-03-12,9,0
Arizona,2020-03-13,9,0
Arizona,2020-03-14,12,0
Arizona,2020-03-15,12,0
Arizona,2020-03-16,18,0
Arizona,2020-03-17,20,0
Arizona,2020-03-18,27,0
Arizona,2020-03-19,45,0
Arizona,2020-03-20,68,0
Arizona,2020-03-21,104,1
Arizona,2020-03-22,152,2
Arizona,2020-03-23,235,2
Arizona,2020-03-24,326,5
Arizona,2020-03-25,401,6
Arizona,2020-03-26,508,8
Arizona,2020-03-27,665,13
Arizona,2020-03-28,773,15
Arizona,2020-03-29,919,17
Arizona,2020-03-30,1157,20
Arizona,2020-03-31,1289,25
Arizona,2020-04-01,1413,32
Arizona,2020-04-02,1596,35
Arizona,2020-04-03,1769,44
Arizona,2020-04-04,2019,52
Arizona,2020-04-05,2269,64
Arizona,2020-04-06,2460,65
Arizona,2020-04-07,2575,73
Arizona,2020-04-08,2726,89
Arizona,2020-04-09,3018,98
Arizona,2020-04-10,3112,106
Arizona,2020-04-11,3393,117
Arizona,2020-04-12,3542,125
Arizona,2020-04-13,3705,132
Arizona,2020-04-14,3809,143
Arizona,2020-04-15,3964,155
Arizona,2020-04-16,4237,164
Arizona,2020-04-17,4511,183
Arizona,2020-04-18,4724,180
Arizona,2020-04-19,4933,184
Arizona,2020-04-20,5068,191
Arizona,2020-04-21,5256,208
Arizona,2020-04-22,5473,231
Arizona,2020-04-23,5772,249
Arizona,2020-04-24,6045,266
Arizona,2020-04-25,6286,273
Arizona,2020-04-26,6534,275
Arizona,2020-04-27,6725,275
Arizona,2020-04-28,6955,275
Arizona,2020-04-29,7209,308
Arizona,2020-04-30,7655,320
Arizona,2020-05-01,7969,330
Arizona,2020-05-02,8364,330
Arizona,2020-05-03,8640,362
Arizona,2020-05-04,8924,362
Arizona,2020-05-05,9305,395
Arizona,2020-05-06,9707,426
Arizona,2020-05-07,9945,450
Arizona,2020-05-08,10526,517
Arizona,2020-05-09,10960,532
Arizona,2020-05-10,11119,536
Arizona,2020-05-11,11383,542
Arizona,2020-05-12,11736,562
Arizona,2020-05-13,12216,595
Arizona,2020-05-14,12674,624
Arizona,2020-05-15,13169,651
Arizona,2020-05-16,13666,679
Arizona,2020-05-17,13945,680
Arizona,2020-05-18,14208,687
Arizona,2020-05-19,14576,705
Arizona,2020-05-20,14906,747
Arizona,2020-05-21,15348,764
Arizona,2020-05-22,15624,775
Arizona,2020-05-23,16053,801
Arizona,2020-05-24,16377,801
Arizona,2020-05-25,16575,807
Arizona,2020-05-26,16864,810
Arizona,2020-05-27,17318,834
Arizona,2020-05-28,17877,860
Arizona,2020-05-29,18472,886
Arizona,2020-05-30,19258,904
Arizona,2020-05-31,19936,907
Arizona,2020-06-01,20129,918
Arizona,2020-06-02,21264,943
Arizona,2020-06-03,22356,983
Arizona,2020-06-04,22886,999
Arizona,2020-06-05,24439,1015
Arizona,2020-06-06,25451,1043
Arizona,2020-06-07,26989,1051
Arizona,2020-06-08,27678,1053
Arizona,2020-06-09,28296,1076
Arizona,2020-06-10,29852,1101
Arizona,2020-06-11,31267,1135
Arizona,2020-06-12,33039,1156
Arizona,2020-06-13,34660,1189
Arizona,2020-06-14,35706,1191
Arizona,2020-06-15,36844,1203
Arizona,2020-06-16,39185,1228
Arizona,2020-06-17,40937,1249
Arizona,2020-06-18,43445,1283
Arizona,2020-06-19,46910,1321
Arizona,2020-06-20,50127,1346
Arizona,2020-06-21,52591,1349
Arizona,2020-06-22,54599,1351
Arizona,2020-06-23,58378,1396
Arizona,2020-06-24,60190,1467
Arizona,2020-06-25,63281,1495
Arizona,2020-06-26,66659,1536
Arizona,2020-06-27,70124,1580
Arizona,2020-06-28,73920,1594
Arizona,2020-06-29,74545,1598
Arizona,2020-06-30,79228,1645
Arizona,2020-07-01,84105,1725
Arizona,2020-07-02,87445,1764
Arizona,2020-07-03,91872,1798
Arizona,2020-07-04,94567,1817
Arizona,2020-07-05,98103,1825
Arizona,2020-07-06,101455,1829
Arizona,2020-07-07,105094,1927
Arizona,2020-07-08,108614,1963
Arizona,2020-07-09,112671,2038
Arizona,2020-07-10,116892,2082
Arkansas,2020-01-22,0,0
Arkansas,2020-01-23,0,0
Arkansas,2020-01-24,0,0
Arkansas,2020-01-25,0,0
Arkansas,2020-01-26,0,0
Arkansas,2020-01-27,0,0
Arkansas,2020-01-28,0,0
Arkansas,2020-01-29,0,0
Arkansas,2020-01-30,0,0
Arkansas,2020-01-31,0,0
Arkansas,2020-02-01,0,0
Arkansas,2020-02-02,0,0
Arkansas,2020-02-03,0,0
Arkansas,2020-02-04,0,0
Arkansas,2020-02-05,0,0
Arkansas,2020-02-06,0,0
Arkansas,2020-02-07,0,0
Arkansas,2020-02-08,0,0
Arkansas,2020-02-09,0,0
Arkansas,2020-02-10,0,0
Arkansas,2020-02-11,0,0
Arkansas,2020-02-12,0,0
Arkansas,2020-02-13,0,0
Arkansas,2020-02-14,0,0
Arkansas,2020-02-15,0,0
Arkansas,2020-02-16,0,0
Arkansas,2020-02-17,0,0
Arkansas,2020-02-18,0,0
Arkansas,2020-02-19,0,0
Arkansas,2020-02-20,0,0
Arkansas,2020-02-21,0,0
Arkansas,2020-02-22,0,0
Arkansas,2020-02-23,0,0
Arkansas,2020-02-24,0,0
Arkansas,2020-02-25,0,0
Arkansas,2020-02-26,0,0
Arkansas,2020-02-27,0,0
Arkansas,2020-02-28,0,0
Arkansas,2020-02-29,0,0
Arkansas,2020-03-01,0,0
Arkansas,2020-03-02,0,0
Arkansas,2020-03-03,0,0
Arkansas,2020-03-04,0,0
Arkansas,2020-03-05,0,0
Arkansas,2020-03-06,0,0
Arkansas,2020-03-07,0,0
Arkansas,2020-03-08,0,0
Arkansas,2020-03-09,0,0
Arkansas,2020-03-10,0,0
Arkansas,2020-03-11,0,0
Arkansas,2020-03-12,0,0
Arkansas,2020-03-13,9,0
Arkansas,2020-03-14,12,0
Arkansas,2020-03-15,3,0
Arkansas,2020-03-16,3,0
Arkansas,2020-03-17,3,0
Arkansas,2020-03-18,4,0
Arkansas,2020-03-19,62,0
Arkansas,2020-03-20,100,0
Arkansas,2020-03-21,122,0
Arkansas,2020-03-22,165,0
Arkansas,2020-03-23,192,0
Arkansas,2020-03-24,219,2
Arkansas,2020-03-25,280,2
Arkansas,2020-03-26,335,2
Arkansas,2020-03-27,381,3
Arkansas,2020-03-28,409,5
Arkansas,2020-03-29,426,6
Arkansas,2020-03-30,473,7
Arkansas,2020-03-31,523,8
Arkansas,2020-04-01,584,10
Arkansas,2020-04-02,643,12
Arkansas,2020-04-03,704,12
Arkansas,2020-04-04,743,14
Arkansas,2020-04-05,837,16
Arkansas,2020-04-06,875,16
Arkansas,2020-04-07,946,18
Arkansas,2020-04-08,1000,18
Arkansas,2020-04-09,1119,21
Arkansas,2020-04-10,1171,21
Arkansas,2020-04-11,1228,25
Arkansas,2020-04-12,1280,27
Arkansas,2020-04-13,1410,29
Arkansas,2020-04-14,1498,32
Arkansas,2020-04-15,1569,33
Arkansas,2020-04-16,1620,37
Arkansas,2020-04-17,1695,37
Arkansas,2020-04-18,1744,38
Arkansas,2020-04-19,1781,39
Arkansas,2020-04-20,1973,41
Arkansas,2020-04-21,1990,42
Arkansas,2020-04-22,2276,42
Arkansas,2020-04-23,2599,45
Arkansas,2020-04-24,2810,47
Arkansas,2020-04-25,2911,48
Arkansas,2020-04-26,3001,51
Arkansas,2020-04-27,3069,51
Arkansas,2020-04-28,3127,57
Arkansas,2020-04-29,3193,57
Arkansas,2020-04-30,3281,61
Arkansas,2020-05-01,3337,64
Arkansas,2020-05-02,3372,72
Arkansas,2020-05-03,3437,76
Arkansas,2020-05-04,3491,80
Arkansas,2020-05-05,3525,83
Arkansas,2020-05-06,3611,87
Arkansas,2020-05-07,3703,87
Arkansas,2020-05-08,3747,88
Arkansas,2020-05-09,3747,88
Arkansas,2020-05-10,4012,91
Arkansas,2020-05-11,4043,94
Arkansas,2020-05-12,4164,95
Arkansas,2020-05-13,4236,97
Arkansas,2020-05-14,4366,98
Arkansas,2020-05-15,4463,98
Arkansas,2020-05-16,4578,98
Arkansas,2020-05-17,4759,98
Arkansas,2020-05-18,4813,100
Arkansas,2020-05-19,4923,102
Arkansas,2020-05-20,5003,107
Arkansas,2020-05-21,5458,110
Arkansas,2020-05-22,5612,113
Arkansas,2020-05-23,5775,115
Arkansas,2020-05-24,5922,116
Arkansas,2020-05-25,6029,117
Arkansas,2020-05-26,6180,119
Arkansas,2020-05-27,6277,120
Arkansas,2020-05-28,6538,125
Arkansas,2020-05-29,6777,132
Arkansas,2020-05-30,7013,133
Arkansas,2020-05-31,7253,133
Arkansas,2020-06-01,7443,133
Arkansas,2020-06-02,7818,136
Arkansas,2020-06-03,8067,142
Arkansas,2020-06-04,8425,151
Arkansas,2020-06-05,8651,152
Arkansas,2020-06-06,9101,154
Arkansas,2020-06-07,9426,154
Arkansas,2020-06-08,9740,155
Arkansas,2020-06-09,10080,161
Arkansas,2020-06-10,10368,165
Arkansas,2020-06-11,10816,171
Arkansas,2020-06-12,11547,176
Arkansas,2020-06-13,12095,177
Arkansas,2020-06-14,12501,179
Arkansas,2020-06-15,12917,182
Arkansas,2020-06-16,13191,188
Arkansas,2020-06-17,13606,197
Arkansas,2020-06-18,13928,208
Arkansas,2020-06-19,14631,214
Arkansas,2020-06-20,15142,224
Arkansas,2020-06-21,15561,225
Arkansas,2020-06-22,16083,227
Arkansas,2020-06-23,16678,237
Arkansas,2020-06-24,17375,240
Arkansas,2020-06-25,18062,240
Arkansas,2020-06-26,18740,249
Arkansas,2020-06-27,19310,259
Arkansas,2020-06-28,19818,264
Arkansas,2020-06-29,20257,265
Arkansas,2020-06-30,20777,270
Arkansas,2020-07-01,21197,277
Arkansas,2020-07-02,22075,279
Arkansas,2020-07-03,22622,281
Arkansas,2020-07-04,23209,286
Arkansas,2020-07-05,23814,287
Arkansas,2020-07-06,24253,292
Arkansas,2020-07-07,24512,301
Arkansas,2020-07-08,25246,305
Arkansas,2020-07-09,26052,309
Arkansas,2020-07-10,26803,313
California,2020-01-22,0,0
California,2020-01-23,0,0
California,2020-01-24,0,0
California,2020-01-25,0,0
California,2020-01-26,2,0
California,2020-01-27,2,0
California,2020-01-28,2,0
California,2020-01-29,2,0
California,2020-01-30,2,0
California,2020-01-31,3,0
California,2020-02-01,3,0
California,2020-02-02,3,0
California,2020-02-03,6,0
California,2020-02-04,6,0
California,2020-02-05,6,0
California,2020-02-06,6,0
California,2020-02-07,6,0
California,2020-02-08,6,0
California,2020-02-09,6,0
California,2020-02-10,6,0
California,2020-02-11,7,0
California,2020-02-12,7,0
California,2020-02-13,8,0
California,2020-02-14,8,0
California,2020-02-15,8,0
California,2020-02-16,8,0
California,2020-02-17,8,0
California,2020-02-18,8,0
California,2020-02-19,8,0
California,2020-02-20,8,0
California,2020-02-21,10,0
California,2020-02-22,10,0
California,2020-02-23,10,0
California,2020-02-24,10,0
California,2020-02-25,10,0
California,2020-02-26,10,0
California,2020-02-27,11,0
California,2020-02-28,11,0
California,2020-02-29,12,0
California,2020-03-01,12,0
California,2020-03-02,21,0
California,2020-03-03,25,0
California,2020-03-04,35,1
California,2020-03-05,51,1
California,2020-03-06,59,1
California,2020-03-07,81,1
California,2020-03-08,95,1
California,2020-03-09,101,1
California,2020-03-10,144,2
California,2020-03-11,178,4
California,2020-03-12,221,4
California,2020-03-13,281,4
California,2020-03-14,372,3
California,2020-03-15,373,5
California,2020-03-16,557,7
California,2020-03-17,700,12
California,2020-03-18,831,16
California,2020-03-19,1009,18
California,2020-03-20,1243,24
California,2020-03-21,1412,25
California,2020-03-22,1651,30
California,2020-03-23,2113,39
California,2020-03-24,2542,50
California,2020-03-25,3009,65
California,2020-03-26,3910,81
California,2020-03-27,4679,94
California,2020-03-28,5110,110
California,2020-03-29,5863,124
California,2020-03-30,7155,146
California,2020-03-31,8233,173
California,2020-04-01,9410,199
California,2020-04-02,10790,238
California,2020-04-03,12016,265
California,2020-04-04,12837,289
California,2020-04-05,15034,348
California,2020-04-06,16024,380
California,2020-04-07,17351,432
California,2020-04-08,18897,495
California,2020-04-09,19710,544
California,2020-04-10,21081,583
California,2020-04-11,21717,604
California,2020-04-12,22800,640
California,2020-04-13,23934,714
California,2020-04-14,25389,767
California,2020-04-15,26686,860
California,2020-04-16,27677,956
California,2020-04-17,29157,1037
California,2020-04-18,30511,1140
California,2020-04-19,31431,1177
California,2020-04-20,33686,1225
California,2020-04-21,35480,1282
California,2020-04-22,37352,1421
California,2020-04-23,39561,1533
California,2020-04-24,41355,1621
California,2020-04-25,42368,1689
California,2020-04-26,43559,1725
California,2020-04-27,44972,1779
California,2020-04-28,46164,1864
California,2020-04-29,48747,1946
California,2020-04-30,50130,2031
California,2020-05-01,52026,2126
California,2020-05-02,53347,2180
California,2020-05-03,54903,2216
California,2020-05-04,55884,2278
California,2020-05-05,58456,2381
California,2020-05-06,60616,2464
California,2020-05-07,62148,2535
California,2020-05-08,63800,2613
California,2020-05-09,66572,2687
California,2020-05-10,67600,2716
California,2020-05-11,69329,2779
California,2020-05-12,70980,2879
California,2020-05-13,72798,2957
California,2020-05-14,74871,3052
California,2020-05-15,76693,3136
California,2020-05-16,78725,3208
California,2020-05-17,80166,3240
California,2020-05-18,81518,3279
California,2020-05-19,83764,3403
California,2020-05-20,86018,3497
California,2020-05-21,88056,3583
California,2020-05-22,90281,3665
California,2020-05-23,92564,3737
California,2020-05-24,94069,3753
California,2020-05-25,96470,3768
California,2020-05-26,99492,3818
California,2020-05-27,101071,3894
California,2020-05-28,103813,3993
California,2020-05-29,106638,4077
California,2020-05-30,109895,4144
California,2020-05-31,111951,4172
California,2020-06-01,114733,4217
California,2020-06-02,117215,4305
California,2020-06-03,119374,4374
California,2020-06-04,122194,4444
California,2020-06-05,125783,4529
California,2020-06-06,128606,4607
California,2020-06-07,130657,4632
California,2020-06-08,133816,4657
California,2020-06-09,136681,4745
California,2020-06-10,139715,4854
California,2020-06-11,143439,4934
California,2020-06-12,146659,4978
California,2020-06-13,150034,5076
California,2020-06-14,152349,5099
California,2020-06-15,155726,5114
California,2020-06-16,158961,5200
California,2020-06-17,162798,5271
California,2020-06-18,167133,5355
California,2020-06-19,170862,5426
California,2020-06-20,175243,5494
California,2020-06-21,178657,5515
California,2020-06-22,184765,5566
California,2020-06-23,191477,5626
California,2020-06-24,196024,5725
California,2020-06-25,201112,5806
California,2020-06-26,206844,5868
California,2020-06-27,210692,5899
California,2020-06-28,215487,5932
California,2020-06-29,223646,5983
California,2020-06-30,231418,6082
California,2020-07-01,238681,6169
California,2020-07-02,246550,6265
California,2020-07-03,250514,6315
California,2020-07-04,252895,6334
California,2020-07-05,264681,6373
California,2020-07-06,271035,6441
California,2020-07-07,284012,6573
California,2020-07-08,292560,6718
California,2020-07-09,302484,6859
California,2020-07-10,310885,6955
Colorado,2020-01-22,0,0
Colorado,2020-01-23,0,0
Colorado,2020-01-24,0,0
Colorado,2020-01-25,0,0
Colorado,2020-01-26,0,0
