state,country,date,recovered
Australian Capital Territory,Australia,6/16/20,105
Australian Capital Territory,Australia,6/17/20,105
Australian Capital Territory,Australia,6/18/20,105
Australian Capital Territory,Australia,6/19/20,105
Australian Capital Territory,Australia,6/20/20,105
Australian Capital Territory,Australia,6/21/20,105
Australian Capital Territory,Australia,6/22/20,105
Australian Capital Territory,Australia,6/23/20,105
Australian Capital Territory,Australia,6/24/20,105
Australian Capital Territory,Australia,6/25/20,105
Australian Capital Territory,Australia,6/26/20,105
Australian Capital Territory,Australia,6/27/20,105
Australian Capital Territory,Australia,6/28/20,105
Australian Capital Territory,Australia,6/29/20,105
Australian Capital Territory,Australia,6/30/20,105
Australian Capital Territory,Australia,7/1/20,105
Australian Capital Territory,Australia,7/2/20,105
Australian Capital Territory,Australia,7/3/20,105
Australian Capital Territory,Australia,7/4/20,105
Australian Capital Territory,Australia,7/5/20,105
Australian Capital Territory,Australia,7/6/20,105
Australian Capital Territory,Australia,7/7/20,105
Australian Capital Territory,Australia,7/8/20,105
Australian Capital Territory,Australia,7/9/20,105
Australian Capital Territory,Australia,7/10/20,105
Australian Capital Territory,Australia,7/11/20,105
Australian Capital Territory,Australia,7/12/20,105
Australian Capital Territory,Australia,7/13/20,105
Australian Capital Territory,Australia,7/14/20,105
Australian Capital Territory,Australia,7/15/20,105
Australian Capital Territory,Australia,7/16/20,105
Australian Capital Territory,Australia,7/17/20,105
Australian Capital Territory,Australia,7/18/20,105
Australian Capital Territory,Australia,7/19/20,107
Australian Capital Territory,Australia,7/20/20,107
Australian Capital Territory,Australia,7/21/20,107
Australian Capital Territory,Australia,7/22/20,109
Australian Capital Territory,Australia,7/23/20,109
Australian Capital Territory,Australia,7/24/20,109
Australian Capital Territory,Australia,7/25/20,109
Australian Capital Territory,Australia,7/26/20,109
Australian Capital Territory,Australia,7/27/20,109
Australian Capital Territory,Australia,7/28/20,109
Australian Capital Territory,Australia,7/29/20,109
Australian Capital Territory,Australia,7/30/20,109
Australian Capital Territory,Australia,7/31/20,110
Australian Capital Territory,Australia,8/1/20,110
Australian Capital Territory,Australia,8/2/20,110
Australian Capital Territory,Australia,8/3/20,110
Australian Capital Territory,Australia,8/4/20,110
Australian Capital Territory,Australia,8/5/20,110
Australian Capital Territory,Australia,8/6/20,110
Australian Capital Territory,Australia,8/7/20,110
Australian Capital Territory,Australia,8/8/20,110
Australian Capital Territory,Australia,8/9/20,110
Australian Capital Territory,Australia,8/10/20,110
Australian Capital Territory,Australia,8/11/20,110
Australian Capital Territory,Australia,8/12/20,110
Australian Capital Territory,Australia,8/13/20,110
New South Wales,Australia,1/22/20,0
New South Wales,Australia,1/23/20,0
New South Wales,Australia,1/24/20,0
New South Wales,Australia,1/25/20,0
New South Wales,Australia,1/26/20,0
New South Wales,Australia,1/27/20,0
New South Wales,Australia,1/28/20,0
New South Wales,Australia,1/29/20,0
New South Wales,Australia,1/30/20,2
New South Wales,Australia,1/31/20,2
New South Wales,Australia,2/1/20,2
New South Wales,Australia,2/2/20,2
New South Wales,Australia,2/3/20,2
New South Wales,Australia,2/4/20,2
New South Wales,Australia,2/5/20,2
New South Wales,Australia,2/6/20,2
New South Wales,Australia,2/7/20,2
New South Wales,Australia,2/8/20,2
New South Wales,Australia,2/9/20,2
New South Wales,Australia,2/10/20,2
New South Wales,Australia,2/11/20,2
New South Wales,Australia,2/12/20,2
New South Wales,Australia,2/13/20,4
New South Wales,Australia,2/14/20,4
New South Wales,Australia,2/15/20,4
New South Wales,Australia,2/16/20,4
New South Wales,Australia,2/17/20,4
New South Wales,Australia,2/18/20,4
New South Wales,Australia,2/19/20,4
New South Wales,Australia,2/20/20,4
New South Wales,Australia,2/21/20,4
New South Wales,Australia,2/22/20,4
New South Wales,Australia,2/23/20,4
New South Wales,Australia,2/24/20,4
New South Wales,Australia,2/25/20,4
New South Wales,Australia,2/26/20,4
New South Wales,Australia,2/27/20,4
New South Wales,Australia,2/28/20,4
New South Wales,Australia,2/29/20,4
New South Wales,Australia,3/1/20,4
New South Wales,Australia,3/2/20,4
New South Wales,Australia,3/3/20,4
New South Wales,Australia,3/4/20,4
New South Wales,Australia,3/5/20,4
New South Wales,Australia,3/6/20,4
New South Wales,Australia,3/7/20,4
New South Wales,Australia,3/8/20,4
New South Wales,Australia,3/9/20,4
New South Wales,Australia,3/10/20,4
New South Wales,Australia,3/11/20,4
New South Wales,Australia,3/12/20,4
New South Wales,Australia,3/13/20,4
New South Wales,Australia,3/14/20,4
New South Wales,Australia,3/15/20,4
New South Wales,Australia,3/16/20,4
New South Wales,Australia,3/17/20,4
New South Wales,Australia,3/18/20,4
New South Wales,Australia,3/19/20,4
New South Wales,Australia,3/20/20,4
New South Wales,Australia,3/21/20,4
New South Wales,Australia,3/22/20,4
New South Wales,Australia,3/23/20,4
New South Wales,Australia,3/24/20,4
New South Wales,Australia,3/25/20,4
New South Wales,Australia,3/26/20,4
New South Wales,Australia,3/27/20,4
New South Wales,Australia,3/28/20,4
New South Wales,Australia,3/29/20,4
New South Wales,Australia,3/30/20,4
New South Wales,Australia,3/31/20,4
New South Wales,Australia,4/1/20,4
New South Wales,Australia,4/2/20,4
New South Wales,Australia,4/3/20,4
New South Wales,Australia,4/4/20,4
New South Wales,Australia,4/5/20,4
New South Wales,Australia,4/6/20,4
New South Wales,Australia,4/7/20,4
New South Wales,Australia,4/8/20,4
New South Wales,Australia,4/9/20,4
New South Wales,Australia,4/10/20,4
New South Wales,Australia,4/11/20,4
New South Wales,Australia,4/12/20,4
New South Wales,Australia,4/13/20,4
New South Wales,Australia,4/14/20,4
New South Wales,Australia,4/15/20,4
New South Wales,Australia,4/16/20,4
New South Wales,Australia,4/17/20,1379
New South Wales,Australia,4/18/20,1379
New South Wales,Australia,4/19/20,1379
New South Wales,Australia,4/20/20,1379
New South Wales,Australia,4/21/20,1755
New South Wales,Australia,4/22/20,1926
New South Wales,Australia,4/23/20,2006
New South Wales,Australia,4/24/20,2056
New South Wales,Australia,4/25/20,2193
New South Wales,Australia,4/26/20,2208
New South Wales,Australia,4/27/20,2227
New South Wales,Australia,4/28/20,2266
New South Wales,Australia,4/29/20,2284
New South Wales,Australia,4/30/20,2293
New South Wales,Australia,5/1/20,2293
New South Wales,Australia,5/2/20,2306
New South Wales,Australia,5/3/20,2328
New South Wales,Australia,5/4/20,2349
New South Wales,Australia,5/5/20,2418
New South Wales,Australia,5/6/20,2463
New South Wales,Australia,5/7/20,2486
New South Wales,Australia,5/8/20,2504
New South Wales,Australia,5/9/20,2504
New South Wales,Australia,5/10/20,2517
New South Wales,Australia,5/11/20,2543
New South Wales,Australia,5/12/20,2571
New South Wales,Australia,5/13/20,2595
New South Wales,Australia,5/14/20,2605
New South Wales,Australia,5/15/20,2611
New South Wales,Australia,5/16/20,2611
New South Wales,Australia,5/17/20,2612
New South Wales,Australia,5/18/20,2614
New South Wales,Australia,5/19/20,2631
New South Wales,Australia,5/20/20,2648
New South Wales,Australia,5/21/20,2648
New South Wales,Australia,5/22/20,2653
New South Wales,Australia,5/23/20,2653
New South Wales,Australia,5/24/20,2656
New South Wales,Australia,5/25/20,2661
New South Wales,Australia,5/26/20,2663
New South Wales,Australia,5/27/20,2670
New South Wales,Australia,5/28/20,2666
New South Wales,Australia,5/29/20,2683
New South Wales,Australia,5/30/20,2685
New South Wales,Australia,5/31/20,2685
New South Wales,Australia,6/1/20,2687
New South Wales,Australia,6/2/20,2691
New South Wales,Australia,6/3/20,2700
New South Wales,Australia,6/4/20,2714
New South Wales,Australia,6/5/20,2719
New South Wales,Australia,6/6/20,2723
New South Wales,Australia,6/7/20,2724
New South Wales,Australia,6/8/20,2729
New South Wales,Australia,6/9/20,2735
New South Wales,Australia,6/10/20,2738
New South Wales,Australia,6/11/20,2743
New South Wales,Australia,6/12/20,2763
New South Wales,Australia,6/13/20,2766
New South Wales,Australia,6/14/20,2766
New South Wales,Australia,6/15/20,2768
New South Wales,Australia,6/16/20,2770
New South Wales,Australia,6/17/20,2770
New South Wales,Australia,6/18/20,2770
New South Wales,Australia,6/19/20,2771
New South Wales,Australia,6/20/20,2771
New South Wales,Australia,6/21/20,2771
New South Wales,Australia,6/22/20,2771
New South Wales,Australia,6/23/20,2771
New South Wales,Australia,6/24/20,2776
New South Wales,Australia,6/25/20,2782
New South Wales,Australia,6/26/20,2784
New South Wales,Australia,6/27/20,2784
New South Wales,Australia,6/28/20,2784
New South Wales,Australia,6/29/20,2784
New South Wales,Australia,6/30/20,2787
New South Wales,Australia,7/1/20,2787
New South Wales,Australia,7/2/20,2789
New South Wales,Australia,7/3/20,2977
New South Wales,Australia,7/4/20,2988
New South Wales,Australia,7/5/20,2988
New South Wales,Australia,7/6/20,2987
New South Wales,Australia,7/7/20,2986
New South Wales,Australia,7/8/20,2986
New South Wales,Australia,7/9/20,2987
New South Wales,Australia,7/10/20,2997
New South Wales,Australia,7/11/20,2988
New South Wales,Australia,7/12/20,2988
New South Wales,Australia,7/13/20,2988
New South Wales,Australia,7/14/20,2988
New South Wales,Australia,7/15/20,2988
New South Wales,Australia,7/16/20,2988
New South Wales,Australia,7/17/20,2988
New South Wales,Australia,7/18/20,2988
New South Wales,Australia,7/19/20,2988
New South Wales,Australia,7/20/20,2988
New South Wales,Australia,7/21/20,2988
New South Wales,Australia,7/22/20,2988
New South Wales,Australia,7/23/20,2988
New South Wales,Australia,7/24/20,2988
New South Wales,Australia,7/25/20,2988
New South Wales,Australia,7/26/20,2989
New South Wales,Australia,7/27/20,2989
New South Wales,Australia,7/28/20,2989
New South Wales,Australia,7/29/20,2989
New South Wales,Australia,7/30/20,2989
New South Wales,Australia,7/31/20,2989
New South Wales,Australia,8/1/20,2991
New South Wales,Australia,8/2/20,2991
New South Wales,Australia,8/3/20,2992
New South Wales,Australia,8/4/20,2994
New South Wales,Australia,8/5/20,2994
New South Wales,Australia,8/6/20,2994
New South Wales,Australia,8/7/20,2994
New South Wales,Australia,8/8/20,2994
New South Wales,Australia,8/9/20,2994
New South Wales,Australia,8/10/20,2994
New South Wales,Australia,8/11/20,2994
New South Wales,Australia,8/12/20,2994
New South Wales,Australia,8/13/20,2994
Northern Territory,Australia,1/22/20,0
Northern Territory,Australia,1/23/20,0
Northern Territory,Australia,1/24/20,0
Northern Territory,Australia,1/25/20,0
Northern Territory,Australia,1/26/20,0
Northern Territory,Australia,1/27/20,0
Northern Territory,Australia,1/28/20,0
Northern Territory,Australia,1/29/20,0
Northern Territory,Australia,1/30/20,0
Northern Territory,Australia,1/31/20,0
Northern Territory,Australia,2/1/20,0
Northern Territory,Australia,2/2/20,0
Northern Territory,Australia,2/3/20,0
Northern Territory,Australia,2/4/20,0
Northern Territory,Australia,2/5/20,0
Northern Territory,Australia,2/6/20,0
Northern Territory,Australia,2/7/20,0
Northern Territory,Australia,2/8/20,0
Northern Territory,Australia,2/9/20,0
Northern Territory,Australia,2/10/20,0
Northern Territory,Australia,2/11/20,0
Northern Territory,Australia,2/12/20,0
Northern Territory,Australia,2/13/20,0
Northern Territory,Australia,2/14/20,0
Northern Territory,Australia,2/15/20,0
Northern Territory,Australia,2/16/20,0
Northern Territory,Australia,2/17/20,0
Northern Territory,Australia,2/18/20,0
Northern Territory,Australia,2/19/20,0
Northern Territory,Australia,2/20/20,0
Northern Territory,Australia,2/21/20,0
Northern Territory,Australia,2/22/20,0
Northern Territory,Australia,2/23/20,0
Northern Territory,Australia,2/24/20,0
Northern Territory,Australia,2/25/20,0
Northern Territory,Australia,2/26/20,0
Northern Territory,Australia,2/27/20,0
Northern Territory,Australia,2/28/20,0
Northern Territory,Australia,2/29/20,0
Northern Territory,Australia,3/1/20,0
Northern Territory,Australia,3/2/20,0
Northern Territory,Australia,3/3/20,0
Northern Territory,Australia,3/4/20,0
Northern Territory,Australia,3/5/20,0
Northern Territory,Australia,3/6/20,0
Northern Territory,Australia,3/7/20,0
Northern Territory,Australia,3/8/20,0
Northern Territory,Australia,3/9/20,0
Northern Territory,Australia,3/10/20,0
Northern Territory,Australia,3/11/20,0
Northern Territory,Australia,3/12/20,0
Northern Territory,Australia,3/13/20,0
Northern Territory,Australia,3/14/20,0
Northern Territory,Australia,3/15/20,0
Northern Territory,Australia,3/16/20,0
Northern Territory,Australia,3/17/20,0
Northern Territory,Australia,3/18/20,0
Northern Territory,Australia,3/19/20,0
Northern Territory,Australia,3/20/20,0
Northern Territory,Australia,3/21/20,0
Northern Territory,Australia,3/22/20,0
Northern Territory,Australia,3/23/20,0
Northern Territory,Australia,3/24/20,0
Northern Territory,Australia,3/25/20,0
Northern Territory,Australia,3/26/20,0
Northern Territory,Australia,3/27/20,0
Northern Territory,Australia,3/28/20,0
Northern Territory,Australia,3/29/20,0
Northern Territory,Australia,3/30/20,0
Northern Territory,Australia,3/31/20,0
Northern Territory,Australia,4/1/20,0
Northern Territory,Australia,4/2/20,0
Northern Territory,Australia,4/3/20,0
Northern Territory,Australia,4/4/20,1
Northern Territory,Australia,4/5/20,1
Northern Territory,Australia,4/6/20,2
Northern Territory,Australia,4/7/20,2
Northern Territory,Australia,4/8/20,2
Northern Territory,Australia,4/9/20,2
Northern Territory,Australia,4/10/20,2
Northern Territory,Australia,4/11/20,2
Northern Territory,Australia,4/12/20,2
Northern Territory,Australia,4/13/20,2
Northern Territory,Australia,4/14/20,6
Northern Territory,Australia,4/15/20,6
Northern Territory,Australia,4/16/20,6
Northern Territory,Australia,4/17/20,9
Northern Territory,Australia,4/18/20,9
Northern Territory,Australia,4/19/20,9
Northern Territory,Australia,4/20/20,12
Northern Territory,Australia,4/21/20,15
Northern Territory,Australia,4/22/20,16
Northern Territory,Australia,4/23/20,16
Northern Territory,Australia,4/24/20,20
Northern Territory,Australia,4/25/20,23
Northern Territory,Australia,4/26/20,23
Northern Territory,Australia,4/27/20,23
Northern Territory,Australia,4/28/20,25
Northern Territory,Australia,4/29/20,25
Northern Territory,Australia,4/30/20,25
Northern Territory,Australia,5/1/20,24
Northern Territory,Australia,5/2/20,24
Northern Territory,Australia,5/3/20,24
Northern Territory,Australia,5/4/20,24
Northern Territory,Australia,5/5/20,26
Northern Territory,Australia,5/6/20,27
Northern Territory,Australia,5/7/20,27
Northern Territory,Australia,5/8/20,27
Northern Territory,Australia,5/9/20,27
Northern Territory,Australia,5/10/20,27
Northern Territory,Australia,5/11/20,27
Northern Territory,Australia,5/12/20,27
Northern Territory,Australia,5/13/20,27
Northern Territory,Australia,5/14/20,27
Northern Territory,Australia,5/15/20,27
Northern Territory,Australia,5/16/20,27
Northern Territory,Australia,5/17/20,27
Northern Territory,Australia,5/18/20,27
Northern Territory,Australia,5/19/20,27
Northern Territory,Australia,5/20/20,29
Northern Territory,Australia,5/21/20,29
Northern Territory,Australia,5/22/20,29
Northern Territory,Australia,5/23/20,29
Northern Territory,Australia,5/24/20,29
Northern Territory,Australia,5/25/20,29
Northern Territory,Australia,5/26/20,29
Northern Territory,Australia,5/27/20,29
Northern Territory,Australia,5/28/20,29
Northern Territory,Australia,5/29/20,29
Northern Territory,Australia,5/30/20,29
Northern Territory,Australia,5/31/20,29
Northern Territory,Australia,6/1/20,29
Northern Territory,Australia,6/2/20,29
Northern Territory,Australia,6/3/20,29
Northern Territory,Australia,6/4/20,29
Northern Territory,Australia,6/5/20,29
Northern Territory,Australia,6/6/20,29
Northern Territory,Australia,6/7/20,29
Northern Territory,Australia,6/8/20,29
Northern Territory,Australia,6/9/20,29
Northern Territory,Australia,6/10/20,29
Northern Territory,Australia,6/11/20,29
Northern Territory,Australia,6/12/20,29
Northern Territory,Australia,6/13/20,29
Northern Territory,Australia,6/14/20,29
Northern Territory,Australia,6/15/20,29
Northern Territory,Australia,6/16/20,29
Northern Territory,Australia,6/17/20,29
Northern Territory,Australia,6/18/20,29
Northern Territory,Australia,6/19/20,29
Northern Territory,Australia,6/20/20,29
Northern Territory,Australia,6/21/20,29
Northern Territory,Australia,6/22/20,29
Northern Territory,Australia,6/23/20,29
Northern Territory,Australia,6/24/20,29
Northern Territory,Australia,6/25/20,29
Northern Territory,Australia,6/26/20,29
Northern Territory,Australia,6/27/20,29
Northern Territory,Australia,6/28/20,29
Northern Territory,Australia,6/29/20,29
Northern Territory,Australia,6/30/20,29
Northern Territory,Australia,7/1/20,29
Northern Territory,Australia,7/2/20,29
Northern Territory,Australia,7/3/20,29
Northern Territory,Australia,7/4/20,29
Northern Territory,Australia,7/5/20,29
Northern Territory,Australia,7/6/20,29
Northern Territory,Australia,7/7/20,29
Northern Territory,Australia,7/8/20,29
Northern Territory,Australia,7/9/20,29
Northern Territory,Australia,7/10/20,29
Northern Territory,Australia,7/11/20,29
Northern Territory,Australia,7/12/20,29
Northern Territory,Australia,7/13/20,29
Northern Territory,Australia,7/14/20,29
Northern Territory,Australia,7/15/20,29
Northern Territory,Australia,7/16/20,29
Northern Territory,Australia,7/17/20,29
Northern Territory,Australia,7/18/20,29
Northern Territory,Australia,7/19/20,29
Northern Territory,Australia,7/20/20,29
Northern Territory,Australia,7/21/20,30
Northern Territory,Australia,7/22/20,30
Northern Territory,Australia,7/23/20,30
Northern Territory,Australia,7/24/20,30
Northern Territory,Australia,7/25/20,30
Northern Territory,Australia,7/26/20,30
Northern Territory,Australia,7/27/20,30
Northern Territory,Australia,7/28/20,30
Northern Territory,Australia,7/29/20,30
Northern Territory,Australia,7/30/20,30
Northern Territory,Australia,7/31/20,30
Northern Territory,Australia,8/1/20,30
Northern Territory,Australia,8/2/20,30
Northern Territory,Australia,8/3/20,30
Northern Territory,Australia,8/4/20,30
Northern Territory,Australia,8/5/20,30
Northern Territory,Australia,8/6/20,30
Northern Territory,Australia,8/7/20,30
Northern Territory,Australia,8/8/20,30
Northern Territory,Australia,8/9/20,30
Northern Territory,Australia,8/10/20,30
Northern Territory,Australia,8/11/20,31
Northern Territory,Australia,8/12/20,31
Northern Territory,Australia,8/13/20,31
Queensland,Australia,1/22/20,0
Queensland,Australia,1/23/20,0
Queensland,Australia,1/24/20,0
Queensland,Australia,1/25/20,0
Queensland,Australia,1/26/20,0
Queensland,Australia,1/27/20,0
Queensland,Australia,1/28/20,0
Queensland,Australia,1/29/20,0
Queensland,Australia,1/30/20,0
Queensland,Australia,1/31/20,0
Queensland,Australia,2/1/20,0
Queensland,Australia,2/2/20,0
Queensland,Australia,2/3/20,0
Queensland,Australia,2/4/20,0
Queensland,Australia,2/5/20,0
Queensland,Australia,2/6/20,0
Queensland,Australia,2/7/20,0
Queensland,Australia,2/8/20,0
Queensland,Australia,2/9/20,0
Queensland,Australia,2/10/20,0
Queensland,Australia,2/11/20,0
Queensland,Australia,2/12/20,0
Queensland,Australia,2/13/20,0
Queensland,Australia,2/14/20,0
Queensland,Australia,2/15/20,0
Queensland,Australia,2/16/20,0
Queensland,Australia,2/17/20,0
Queensland,Australia,2/18/20,0
Queensland,Australia,2/19/20,0
Queensland,Australia,2/20/20,0
Queensland,Australia,2/21/20,1
Queensland,Australia,2/22/20,1
Queensland,Australia,2/23/20,1
Queensland,Australia,2/24/20,1
Queensland,Australia,2/25/20,1
Queensland,Australia,2/26/20,1
Queensland,Australia,2/27/20,1
Queensland,Australia,2/28/20,1
Queensland,Australia,2/29/20,1
Queensland,Australia,3/1/20,1
Queensland,Australia,3/2/20,1
Queensland,Australia,3/3/20,1
Queensland,Australia,3/4/20,1
Queensland,Australia,3/5/20,8
Queensland,Australia,3/6/20,8
Queensland,Australia,3/7/20,8
Queensland,Australia,3/8/20,8
Queensland,Australia,3/9/20,8
Queensland,Australia,3/10/20,8
Queensland,Australia,3/11/20,8
Queensland,Australia,3/12/20,8
Queensland,Australia,3/13/20,8
Queensland,Australia,3/14/20,8
Queensland,Australia,3/15/20,8
Queensland,Australia,3/16/20,8
Queensland,Australia,3/17/20,8
Queensland,Australia,3/18/20,8
Queensland,Australia,3/19/20,8
Queensland,Australia,3/20/20,8
Queensland,Australia,3/21/20,8
Queensland,Australia,3/22/20,8
Queensland,Australia,3/23/20,8
Queensland,Australia,3/24/20,8
Queensland,Australia,3/25/20,8
Queensland,Australia,3/26/20,8
Queensland,Australia,3/27/20,8
Queensland,Australia,3/28/20,8
Queensland,Australia,3/29/20,8
Queensland,Australia,3/30/20,8
Queensland,Australia,3/31/20,8
Queensland,Australia,4/1/20,8
Queensland,Australia,4/2/20,8
Queensland,Australia,4/3/20,8
Queensland,Australia,4/4/20,8
Queensland,Australia,4/5/20,8
Queensland,Australia,4/6/20,173
Queensland,Australia,4/7/20,173
Queensland,Australia,4/8/20,173
Queensland,Australia,4/9/20,345
Queensland,Australia,4/10/20,372
Queensland,Australia,4/11/20,372
Queensland,Australia,4/12/20,372
Queensland,Australia,4/13/20,372
Queensland,Australia,4/14/20,442
Queensland,Australia,4/15/20,442
Queensland,Australia,4/16/20,442
Queensland,Australia,4/17/20,442
Queensland,Australia,4/18/20,738
Queensland,Australia,4/19/20,738
Queensland,Australia,4/20/20,738
Queensland,Australia,4/21/20,738
Queensland,Australia,4/22/20,738
Queensland,Australia,4/23/20,738
Queensland,Australia,4/24/20,738
Queensland,Australia,4/25/20,803
Queensland,Australia,4/26/20,926
Queensland,Australia,4/27/20,926
Queensland,Australia,4/28/20,934
Queensland,Australia,4/29/20,943
Queensland,Australia,4/30/20,948
Queensland,Australia,5/1/20,965
Queensland,Australia,5/2/20,976
Queensland,Australia,5/3/20,980
