country,date,cases,deaths,active,recovered
Australia,2020-04-21,6645,67,1883,4695
Australia,2020-04-22,6652,67,1653,4932
Australia,2020-04-23,6662,75,1540,5047
Australia,2020-04-24,6677,79,1462,5136
Australia,2020-04-25,6694,80,1238,5376
Australia,2020-04-26,6714,83,1090,5541
Australia,2020-04-27,6721,83,1050,5588
Australia,2020-04-28,6744,89,990,5665
Australia,2020-04-29,6752,91,946,5715
Australia,2020-04-30,6766,93,931,5742
Australia,2020-05-01,6778,93,910,5775
Australia,2020-05-02,6799,94,891,5814
Australia,2020-05-03,6822,95,878,5849
Australia,2020-05-04,6847,96,864,5887
Australia,2020-05-05,6875,97,803,5975
Australia,2020-05-06,6894,97,766,6031
Australia,2020-05-07,6913,97,738,6078
Australia,2020-05-08,6918,97,699,6122
Australia,2020-05-09,6939,97,701,6141
Australia,2020-05-10,6948,97,684,6167
Australia,2020-05-11,6970,97,660,6213
Australia,2020-05-12,6980,98,612,6270
Australia,2020-05-13,6989,98,594,6297
Australia,2020-05-14,7019,98,587,6334
Australia,2020-05-15,7035,98,578,6359
Australia,2020-05-16,7044,98,582,6364
Australia,2020-05-17,7054,99,563,6392
Australia,2020-05-18,7068,99,556,6413
Australia,2020-05-19,7072,100,541,6431
Australia,2020-05-20,7081,100,511,6470
Australia,2020-05-21,7095,101,516,6478
Australia,2020-05-22,7099,101,513,6485
Australia,2020-05-23,7114,102,504,6508
Australia,2020-05-24,7114,102,481,6531
Australia,2020-05-25,7126,102,472,6552
Australia,2020-05-26,7139,103,476,6560
Australia,2020-05-27,7150,103,468,6579
Australia,2020-05-28,7165,103,486,6576
Australia,2020-05-29,7184,103,476,6605
Australia,2020-05-30,7192,103,475,6614
Australia,2020-05-31,7202,103,481,6618
Australia,2020-06-01,7221,102,493,6626
Australia,2020-06-02,7229,102,491,6636
Australia,2020-06-03,7240,102,490,6648
Australia,2020-06-04,7247,102,462,6683
Australia,2020-06-05,7252,102,462,6688
Australia,2020-06-06,7259,102,454,6703
Australia,2020-06-07,7265,102,457,6706
Australia,2020-06-08,7267,102,445,6720
Australia,2020-06-09,7274,102,432,6740
Australia,2020-06-10,7285,102,424,6759
Australia,2020-06-11,7289,102,405,6782
Australia,2020-06-12,7294,102,389,6803
Australia,2020-06-13,7320,102,380,6838
Australia,2020-06-14,7335,102,382,6851
Australia,2020-06-15,7347,102,389,6856
Australia,2020-06-16,7370,102,407,6861
Australia,2020-06-17,7391,102,412,6877
Australia,2020-06-18,7409,102,429,6878
Australia,2020-06-19,7411,102,428,6881
Australia,2020-06-20,7461,102,463,6896
Australia,2020-06-21,7474,102,469,6903
Australia,2020-06-22,7492,102,475,6915
Australia,2020-06-23,7521,103,494,6924
Australia,2020-06-24,7558,104,523,6931
Australia,2020-06-25,7595,104,533,6958
Australia,2020-06-26,7601,104,537,6960
Australia,2020-06-27,7686,104,589,6993
Australia,2020-06-28,7764,104,653,7007
Australia,2020-06-29,7834,104,693,7037
Australia,2020-06-30,7920,104,776,7040
Australia,2020-07-01,8001,104,807,7090
Australia,2020-07-02,8066,104,832,7130
Australia,2020-07-03,8260,104,837,7319
Australia,2020-07-04,8443,104,940,7399
Australia,2020-07-05,8583,106,1057,7420
Australia,2020-07-06,8755,106,1194,7455
Australia,2020-07-07,8886,106,1293,7487
Australia,2020-07-08,9056,106,1377,7573
Australia,2020-07-09,9374,106,1692,7576
Australia,2020-07-10,9553,107,1713,7733
Australia,2020-07-11,9797,108,1962,7727
Australia,2020-07-12,9980,108,2103,7769
Canada,2020-01-22,0,0,NA,NA
Canada,2020-01-23,0,0,NA,NA
Canada,2020-01-24,0,0,NA,NA
Canada,2020-01-25,0,0,NA,NA
Canada,2020-01-26,1,0,NA,NA
Canada,2020-01-27,1,0,NA,NA
Canada,2020-01-28,2,0,NA,NA
Canada,2020-01-29,2,0,NA,NA
Canada,2020-01-30,2,0,NA,NA
Canada,2020-01-31,4,0,NA,NA
Canada,2020-02-01,4,0,NA,NA
Canada,2020-02-02,4,0,NA,NA
Canada,2020-02-03,4,0,NA,NA
Canada,2020-02-04,4,0,NA,NA
Canada,2020-02-05,5,0,NA,NA
Canada,2020-02-06,5,0,NA,NA
Canada,2020-02-07,7,0,NA,NA
Canada,2020-02-08,7,0,NA,NA
Canada,2020-02-09,7,0,NA,NA
Canada,2020-02-10,7,0,NA,NA
Canada,2020-02-11,7,0,NA,NA
Canada,2020-02-12,7,0,NA,NA
Canada,2020-02-13,7,0,NA,NA
Canada,2020-02-14,7,0,NA,NA
Canada,2020-02-15,7,0,NA,NA
Canada,2020-02-16,7,0,NA,NA
Canada,2020-02-17,8,0,NA,NA
Canada,2020-02-18,8,0,NA,NA
Canada,2020-02-19,8,0,NA,NA
Canada,2020-02-20,8,0,NA,NA
Canada,2020-02-21,9,0,NA,NA
Canada,2020-02-22,9,0,NA,NA
Canada,2020-02-23,9,0,NA,NA
Canada,2020-02-24,10,0,NA,NA
Canada,2020-02-25,11,0,NA,NA
Canada,2020-02-26,11,0,NA,NA
Canada,2020-02-27,13,0,NA,NA
Canada,2020-02-28,14,0,NA,NA
Canada,2020-02-29,20,0,NA,NA
Canada,2020-03-01,24,0,NA,NA
Canada,2020-03-02,27,0,NA,NA
Canada,2020-03-03,30,0,NA,NA
Canada,2020-03-04,33,0,NA,NA
Canada,2020-03-05,37,0,NA,NA
Canada,2020-03-06,49,0,NA,NA
Canada,2020-03-07,54,0,NA,NA
Canada,2020-03-08,64,0,NA,NA
Canada,2020-03-09,77,1,NA,NA
Canada,2020-03-10,79,1,NA,NA
Canada,2020-03-11,108,1,NA,NA
Canada,2020-03-12,117,1,NA,NA
Canada,2020-03-13,193,1,NA,NA
Canada,2020-03-14,198,1,NA,NA
Canada,2020-03-15,252,1,NA,NA
Canada,2020-03-16,415,4,NA,NA
Canada,2020-03-17,478,5,NA,NA
Canada,2020-03-18,657,8,NA,NA
Canada,2020-03-19,800,9,NA,NA
Canada,2020-03-20,943,12,NA,NA
Canada,2020-03-21,1277,19,NA,NA
Canada,2020-03-22,1469,21,NA,NA
Canada,2020-03-23,2088,25,NA,NA
Canada,2020-03-24,2790,26,NA,NA
Canada,2020-03-25,3251,30,NA,NA
Canada,2020-03-26,4042,38,NA,NA
Canada,2020-03-27,4682,54,NA,NA
Canada,2020-03-28,5576,61,NA,NA
Canada,2020-03-29,6280,64,NA,NA
Canada,2020-03-30,7398,80,NA,NA
Canada,2020-03-31,8527,101,NA,NA
Canada,2020-04-01,9560,109,NA,NA
Canada,2020-04-02,11284,139,NA,NA
Canada,2020-04-03,12437,179,NA,NA
Canada,2020-04-04,12978,218,NA,NA
Canada,2020-04-05,15756,259,NA,NA
Canada,2020-04-06,16563,339,NA,NA
Canada,2020-04-07,17872,375,NA,NA
Canada,2020-04-08,19141,407,NA,NA
Canada,2020-04-09,20654,503,NA,NA
Canada,2020-04-10,22059,557,NA,NA
Canada,2020-04-11,23316,654,NA,NA
Canada,2020-04-12,24299,714,NA,NA
Canada,2020-04-13,25680,781,NA,NA
Canada,2020-04-14,27035,901,NA,NA
Canada,2020-04-15,28209,1008,NA,NA
Canada,2020-04-16,30809,1259,NA,NA
Canada,2020-04-17,32814,1356,NA,NA
Canada,2020-04-18,34356,1401,NA,NA
Canada,2020-04-19,35633,1565,NA,NA
Canada,2020-04-20,37658,1727,NA,NA
Canada,2020-04-21,39402,1910,NA,NA
Canada,2020-04-22,41663,2078,NA,NA
Canada,2020-04-23,43299,2241,NA,NA
Canada,2020-04-24,44919,2402,NA,NA
Canada,2020-04-25,46371,2571,NA,NA
Canada,2020-04-26,48033,2687,NA,NA
Canada,2020-04-27,49616,2841,NA,NA
Canada,2020-04-28,51150,2983,NA,NA
Canada,2020-04-29,52865,3155,NA,NA
Canada,2020-04-30,54457,3310,NA,NA
Canada,2020-05-01,56343,3537,NA,NA
Canada,2020-05-02,57926,3684,NA,NA
Canada,2020-05-03,60504,3795,NA,NA
Canada,2020-05-04,61957,4003,NA,NA
Canada,2020-05-05,63215,4190,NA,NA
Canada,2020-05-06,64694,4366,NA,NA
Canada,2020-05-07,66201,4541,NA,NA
Canada,2020-05-08,67674,4697,NA,NA
Canada,2020-05-09,68918,4823,NA,NA
Canada,2020-05-10,70091,4991,NA,NA
Canada,2020-05-11,71264,5115,NA,NA
Canada,2020-05-12,72419,5300,NA,NA
Canada,2020-05-13,73568,5425,NA,NA
Canada,2020-05-14,74781,5592,NA,NA
Canada,2020-05-15,75959,5679,NA,NA
Canada,2020-05-16,77206,5800,NA,NA
Canada,2020-05-17,78332,5903,NA,NA
Canada,2020-05-18,79411,5960,NA,NA
Canada,2020-05-19,80493,6028,NA,NA
Canada,2020-05-20,81575,6150,NA,NA
Canada,2020-05-21,82742,6267,NA,NA
Canada,2020-05-22,83947,6360,NA,NA
Canada,2020-05-23,85151,6466,NA,NA
Canada,2020-05-24,86106,6534,NA,NA
Canada,2020-05-25,87119,6655,NA,NA
Canada,2020-05-26,88090,6753,NA,NA
Canada,2020-05-27,88989,6876,NA,NA
Canada,2020-05-28,89976,6982,NA,NA
Canada,2020-05-29,90909,7063,NA,NA
Canada,2020-05-30,91681,7159,NA,NA
Canada,2020-05-31,92479,7374,NA,NA
Canada,2020-06-01,93288,7404,NA,NA
Canada,2020-06-02,93960,7478,NA,NA
Canada,2020-06-03,94641,7579,NA,NA
Canada,2020-06-04,95269,7717,NA,NA
Canada,2020-06-05,95947,7778,NA,NA
Canada,2020-06-06,96475,7850,NA,NA
Canada,2020-06-07,97178,7877,NA,NA
Canada,2020-06-08,97779,7910,NA,NA
Canada,2020-06-09,98241,7970,NA,NA
Canada,2020-06-10,98720,8038,NA,NA
Canada,2020-06-11,99159,8071,NA,NA
Canada,2020-06-12,99595,8125,NA,NA
Canada,2020-06-13,100043,8183,NA,NA
Canada,2020-06-14,100404,8218,NA,NA
Canada,2020-06-15,100763,8228,NA,NA
Canada,2020-06-16,101087,8271,NA,NA
Canada,2020-06-17,101491,8312,NA,NA
Canada,2020-06-18,101877,8361,NA,NA
Canada,2020-06-19,102314,8408,NA,NA
Canada,2020-06-20,102762,8466,NA,NA
Canada,2020-06-21,103078,8482,NA,NA
Canada,2020-06-22,103418,8494,NA,NA
Canada,2020-06-23,103767,8512,NA,NA
Canada,2020-06-24,104087,8544,NA,NA
Canada,2020-06-25,104463,8567,NA,NA
Canada,2020-06-26,104629,8571,NA,NA
Canada,2020-06-27,104878,8576,NA,NA
Canada,2020-06-28,105193,8582,NA,NA
Canada,2020-06-29,105830,8628,NA,NA
Canada,2020-06-30,106097,8650,NA,NA
Canada,2020-07-01,106288,8678,NA,NA
Canada,2020-07-02,106643,8700,NA,NA
Canada,2020-07-03,106962,8722,NA,NA
Canada,2020-07-04,107185,8732,NA,NA
Canada,2020-07-05,107394,8739,NA,NA
Canada,2020-07-06,107815,8748,NA,NA
Canada,2020-07-07,108023,8765,NA,NA
Canada,2020-07-08,108334,8786,NA,NA
Canada,2020-07-09,108656,8797,NA,NA
Canada,2020-07-10,108984,8811,NA,NA
Canada,2020-07-11,109150,8818,NA,NA
Canada,2020-07-12,109348,8829,NA,NA
China,2020-01-22,548,17,503,28
China,2020-01-23,643,18,595,30
China,2020-01-24,920,26,858,36
China,2020-01-25,1406,42,1325,39
China,2020-01-26,2075,56,1970,49
China,2020-01-27,2877,82,2737,58
China,2020-01-28,5509,131,5277,101
China,2020-01-29,6087,133,5834,120
China,2020-01-30,8141,171,7835,135
China,2020-01-31,9802,213,9375,214
China,2020-02-01,11891,259,11357,275
China,2020-02-02,16630,361,15806,463
China,2020-02-03,19716,425,18677,614
China,2020-02-04,23707,491,22373,843
China,2020-02-05,27440,563,25762,1115
China,2020-02-06,30587,633,28477,1477
China,2020-02-07,34110,718,31393,1999
China,2020-02-08,36814,805,33413,2596
China,2020-02-09,39829,905,35705,3219
China,2020-02-10,42354,1012,37424,3918
China,2020-02-11,44386,1112,38638,4636
China,2020-02-12,44759,1117,38560,5082
China,2020-02-13,59895,1369,52309,6217
China,2020-02-14,66358,1521,56860,7977
China,2020-02-15,68413,1663,57452,9298
China,2020-02-16,70513,1766,57992,10755
China,2020-02-17,72434,1864,58108,12462
China,2020-02-18,74211,2003,58002,14206
China,2020-02-19,74619,2116,56541,15962
China,2020-02-20,75077,2238,54825,18014
China,2020-02-21,75550,2238,54608,18704
China,2020-02-22,77001,2443,51859,22699
China,2020-02-23,77022,2445,51390,23187
China,2020-02-24,77241,2595,49631,25015
China,2020-02-25,77754,2665,47413,27676
China,2020-02-26,78166,2717,45365,30084
China,2020-02-27,78600,2746,42924,32930
China,2020-02-28,78928,2790,39809,36329
China,2020-02-29,79356,2837,37199,39320
China,2020-03-01,79932,2872,34898,42162
China,2020-03-02,80136,2914,32368,44854
China,2020-03-03,80261,2947,29864,47450
China,2020-03-04,80386,2983,27402,50001
China,2020-03-05,80537,3015,25230,52292
China,2020-03-06,80690,3044,23702,53944
China,2020-03-07,80770,3072,22159,55539
China,2020-03-08,80823,3100,20335,57388
China,2020-03-09,80860,3123,18933,58804
China,2020-03-10,80887,3139,17567,60181
China,2020-03-11,80921,3161,16116,61644
China,2020-03-12,80932,3172,14859,62901
China,2020-03-13,80945,3180,13569,64196
China,2020-03-14,80977,3193,12124,65660
China,2020-03-15,81003,3203,10783,67017
China,2020-03-16,81033,3217,9906,67910
China,2020-03-17,81058,3230,9030,68798
China,2020-03-18,81102,3241,8106,69755
China,2020-03-19,81156,3249,7372,70535
China,2020-03-20,81250,3253,6731,71266
China,2020-03-21,81305,3259,6189,71857
China,2020-03-22,81435,3274,5799,72362
China,2020-03-23,81498,3274,5410,72814
China,2020-03-24,81591,3281,5030,73280
China,2020-03-25,81661,3285,4603,73773
China,2020-03-26,81782,3291,4310,74181
China,2020-03-27,81897,3296,3881,74720
China,2020-03-28,81999,3299,3600,75100
China,2020-03-29,82122,3304,3236,75582
China,2020-03-30,82198,3308,2967,75923
China,2020-03-31,82279,3309,2764,76206
China,2020-04-01,82361,3316,2640,76405
China,2020-04-02,82432,3322,2545,76565
China,2020-04-03,82511,3326,2425,76760
China,2020-04-04,82543,3330,2267,76946
China,2020-04-05,82602,3333,2062,77207
China,2020-04-06,82665,3335,2020,77310
China,2020-04-07,82718,3335,1973,77410
China,2020-04-08,82809,3337,1905,77567
China,2020-04-09,82883,3339,1865,77679
China,2020-04-10,82941,3340,1810,77791
China,2020-04-11,83014,3343,1794,77877
China,2020-04-12,83134,3343,1835,77956
China,2020-04-13,83213,3345,1829,78039
China,2020-04-14,83306,3345,1761,78200
China,2020-04-15,83356,3346,1699,78311
China,2020-04-16,83403,3346,1656,78401
China,2020-04-17,83760,4636,1572,77552
China,2020-04-18,83787,4636,1537,77614
China,2020-04-19,83805,4636,1479,77690
China,2020-04-20,83817,4636,1436,77745
China,2020-04-21,83853,4636,1418,77799
China,2020-04-22,83868,4636,1371,77861
China,2020-04-23,83884,4636,1265,77983
China,2020-04-24,83899,4636,1154,78109
China,2020-04-25,83909,4636,1098,78175
China,2020-04-26,83912,4637,998,78277
China,2020-04-27,83918,4637,907,78374
China,2020-04-28,83940,4637,881,78422
China,2020-04-29,83944,4637,833,78474
China,2020-04-30,83956,4637,796,78523
China,2020-05-01,83959,4637,749,78573
China,2020-05-02,83959,4637,736,78586
China,2020-05-03,83964,4637,643,78684
China,2020-05-04,83966,4637,537,78792
China,2020-05-05,83968,4637,461,78870
China,2020-05-06,83970,4637,404,78929
China,2020-05-07,83975,4637,361,78977
China,2020-05-08,83976,4637,346,78993
China,2020-05-09,83990,4637,226,79127
China,2020-05-10,84010,4637,206,79167
China,2020-05-11,84011,4637,176,79198
China,2020-05-12,84018,4637,159,79222
China,2020-05-13,84024,4637,141,79246
China,2020-05-14,84029,4637,131,79261
China,2020-05-15,84038,4637,120,79281
China,2020-05-16,84044,4638,113,79293
China,2020-05-17,84054,4638,110,79306
China,2020-05-18,84063,4638,115,79310
China,2020-05-19,84063,4638,115,79310
China,2020-05-20,84063,4638,115,79310
China,2020-05-21,84063,4638,115,79310
China,2020-05-22,84081,4638,111,79332
China,2020-05-23,84084,4638,111,79335
China,2020-05-24,84095,4638,114,79343
China,2020-05-25,84102,4638,112,79352
China,2020-05-26,84103,4638,107,79358
China,2020-05-27,84106,4638,101,79367
China,2020-05-28,84106,4638,97,79371
China,2020-05-29,84123,4638,103,79382
China,2020-05-30,84128,4638,104,79386
China,2020-05-31,84146,4638,119,79389
China,2020-06-01,84154,4638,118,79398
China,2020-06-02,84161,4638,123,79400
China,2020-06-03,84160,4638,118,79404
China,2020-06-04,84171,4638,118,79415
China,2020-06-05,84177,4638,119,79420
China,2020-06-06,84186,4638,124,79424
China,2020-06-07,84191,4638,119,79434
China,2020-06-08,84195,4638,113,79444
China,2020-06-09,84198,4638,109,79451
China,2020-06-10,84209,4638,115,79456
China,2020-06-11,84216,4638,114,79464
China,2020-06-12,84228,4638,118,79472
China,2020-06-13,84286,4638,173,79475
China,2020-06-14,84335,4638,215,79482
China,2020-06-15,84378,4638,251,79489
China,2020-06-16,84422,4638,291,79493
China,2020-06-17,84458,4638,310,79510
China,2020-06-18,84494,4638,341,79515
China,2020-06-19,84494,4638,341,79515
China,2020-06-20,84553,4639,380,79534
China,2020-06-21,84572,4639,398,79535
China,2020-06-22,84624,4639,438,79547
China,2020-06-23,84653,4640,458,79555
China,2020-06-24,84673,4640,471,79562
China,2020-06-25,84701,4641,488,79572
China,2020-06-26,84725,4641,504,79580
China,2020-06-27,84743,4641,511,79591
China,2020-06-28,84757,4641,507,79609
China,2020-06-29,84780,4641,520,79619
China,2020-06-30,84785,4641,512,79632
China,2020-07-01,84816,4641,525,79650
China,2020-07-02,84830,4641,524,79665
China,2020-07-03,84838,4641,517,79680
China,2020-07-04,84857,4641,510,79706
China,2020-07-05,84871,4641,512,79718
China,2020-07-06,84889,4641,523,79725
China,2020-07-07,84917,4641,522,79754
China,2020-07-08,84950,4641,507,79802
China,2020-07-09,84992,4641,549,79802
China,2020-07-10,84992,4641,549,79802
China,2020-07-11,85071,4641,554,79876
China,2020-07-12,85117,4641,569,79907
Denmark,2020-01-22,0,0,0,0
Denmark,2020-01-23,0,0,0,0
Denmark,2020-01-24,0,0,0,0
Denmark,2020-01-25,0,0,0,0
Denmark,2020-01-26,0,0,0,0
Denmark,2020-01-27,0,0,0,0
Denmark,2020-01-28,0,0,0,0
Denmark,2020-01-29,0,0,0,0
Denmark,2020-01-30,0,0,0,0
Denmark,2020-01-31,0,0,0,0
Denmark,2020-02-01,0,0,0,0
Denmark,2020-02-02,0,0,0,0
Denmark,2020-02-03,0,0,0,0
Denmark,2020-02-04,0,0,0,0
Denmark,2020-02-05,0,0,0,0
Denmark,2020-02-06,0,0,0,0
Denmark,2020-02-07,0,0,0,0
Denmark,2020-02-08,0,0,0,0
Denmark,2020-02-09,0,0,0,0
Denmark,2020-02-10,0,0,0,0
Denmark,2020-02-11,0,0,0,0
Denmark,2020-02-12,0,0,0,0
Denmark,2020-02-13,0,0,0,0
Denmark,2020-02-14,0,0,0,0
Denmark,2020-02-15,0,0,0,0
Denmark,2020-02-16,0,0,0,0
Denmark,2020-02-17,0,0,0,0
Denmark,2020-02-18,0,0,0,0
Denmark,2020-02-19,0,0,0,0
Denmark,2020-02-20,0,0,0,0
Denmark,2020-02-21,0,0,0,0
Denmark,2020-02-22,0,0,0,0
Denmark,2020-02-23,0,0,0,0
Denmark,2020-02-24,0,0,0,0
Denmark,2020-02-25,0,0,0,0
Denmark,2020-02-26,0,0,0,0
Denmark,2020-02-27,0,0,0,0
Denmark,2020-02-28,0,0,0,0
Denmark,2020-02-29,0,0,0,0
Denmark,2020-03-01,0,0,0,0
Denmark,2020-03-02,0,0,0,0
Denmark,2020-03-03,0,0,0,0
Denmark,2020-03-04,1,0,1,0
Denmark,2020-03-05,1,0,1,0
Denmark,2020-03-06,1,0,1,0
Denmark,2020-03-07,1,0,1,0
Denmark,2020-03-08,2,0,2,0
Denmark,2020-03-09,2,0,2,0
Denmark,2020-03-10,2,0,2,0
Denmark,2020-03-11,2,0,2,0
Denmark,2020-03-12,2,0,2,0
Denmark,2020-03-13,3,0,3,0
Denmark,2020-03-14,9,0,9,0
Denmark,2020-03-15,11,0,11,0
Denmark,2020-03-16,19,0,19,0
Denmark,2020-03-17,48,0,48,0
Denmark,2020-03-18,59,0,59,0
Denmark,2020-03-19,74,0,74,0
Denmark,2020-03-20,82,0,82,0
Denmark,2020-03-21,94,0,94,0
Denmark,2020-03-22,119,0,119,0
Denmark,2020-03-23,122,0,122,0
Denmark,2020-03-24,127,0,92,35
Denmark,2020-03-25,138,0,98,40
Denmark,2020-03-26,146,0,97,49
Denmark,2020-03-27,154,0,98,56
Denmark,2020-03-28,165,0,109,56
Denmark,2020-03-29,169,0,97,72
Denmark,2020-03-30,178,0,106,72
Denmark,2020-03-31,179,0,103,76
Denmark,2020-04-01,183,0,106,77
Denmark,2020-04-02,187,0,104,83
Denmark,2020-04-03,189,0,95,94
Denmark,2020-04-04,192,0,96,96
Denmark,2020-04-05,192,0,90,102
Denmark,2020-04-06,194,0,83,111
Denmark,2020-04-07,195,0,65,130
Denmark,2020-04-08,195,0,53,142
Denmark,2020-04-09,195,0,48,147
Denmark,2020-04-10,195,0,39,156
Denmark,2020-04-11,195,0,39,156
Denmark,2020-04-12,195,0,27,168
Denmark,2020-04-13,195,0,27,168
Denmark,2020-04-14,195,0,21,174
Denmark,2020-04-15,195,0,18,177
Denmark,2020-04-16,195,0,15,180
Denmark,2020-04-17,195,0,13,182
Denmark,2020-04-18,195,0,11,184
Denmark,2020-04-19,196,0,9,187
Denmark,2020-04-20,196,0,9,187
Denmark,2020-04-21,196,0,7,189
Denmark,2020-04-22,196,0,7,189
Denmark,2020-04-23,198,0,9,189
Denmark,2020-04-24,198,0,9,189
Denmark,2020-04-25,198,0,9,189
Denmark,2020-04-26,198,0,9,189
Denmark,2020-04-27,198,0,9,189
Denmark,2020-04-28,198,0,6,192
Denmark,2020-04-29,198,0,6,192
Denmark,2020-04-30,198,0,3,195
Denmark,2020-05-01,198,0,3,195
Denmark,2020-05-02,198,0,3,195
Denmark,2020-05-03,198,0,2,196
Denmark,2020-05-04,198,0,2,196
Denmark,2020-05-05,198,0,2,196
Denmark,2020-05-06,198,0,2,196
Denmark,2020-05-07,198,0,2,196
Denmark,2020-05-08,198,0,0,198
Denmark,2020-05-09,198,0,0,198
Denmark,2020-05-10,198,0,0,198
Denmark,2020-05-11,198,0,0,198
Denmark,2020-05-12,198,0,0,198
Denmark,2020-05-13,198,0,0,198
Denmark,2020-05-14,198,0,0,198
Denmark,2020-05-15,198,0,0,198
Denmark,2020-05-16,198,0,0,198
Denmark,2020-05-17,198,0,0,198
Denmark,2020-05-18,198,0,0,198
Denmark,2020-05-19,198,0,0,198
Denmark,2020-05-20,198,0,0,198
Denmark,2020-05-21,198,0,0,198
Denmark,2020-05-22,198,0,0,198
Denmark,2020-05-23,198,0,0,198
Denmark,2020-05-24,199,0,1,198
Denmark,2020-05-25,199,0,1,198
Denmark,2020-05-26,199,0,1,198
Denmark,2020-05-27,200,0,2,198
Denmark,2020-05-28,200,0,2,198
Denmark,2020-05-29,200,0,2,198
Denmark,2020-05-30,200,0,2,198
Denmark,2020-05-31,200,0,2,198
Denmark,2020-06-01,200,0,2,198
Denmark,2020-06-02,200,0,2,198
Denmark,2020-06-03,200,0,2,198
Denmark,2020-06-04,200,0,0,200
Denmark,2020-06-05,200,0,0,200
Denmark,2020-06-06,200,0,0,200
Denmark,2020-06-07,200,0,0,200
Denmark,2020-06-08,200,0,0,200
Denmark,2020-06-09,200,0,0,200
Denmark,2020-06-10,200,0,0,200
Denmark,2020-06-11,200,0,0,200
Denmark,2020-06-12,200,0,0,200
Denmark,2020-06-13,200,0,0,200
Denmark,2020-06-14,200,0,0,200
Denmark,2020-06-15,200,0,0,200
Denmark,2020-06-16,200,0,0,200
Denmark,2020-06-17,200,0,0,200
Denmark,2020-06-18,200,0,0,200
Denmark,2020-06-19,200,0,0,200
Denmark,2020-06-20,200,0,0,200
Denmark,2020-06-21,200,0,0,200
Denmark,2020-06-22,200,0,0,200
